;Пробег;Модель;Цена;Год;Коробка передач;Кузов;Привод;Цвет;Двигатель
1583;97 507 км;Ford Focus III;519 990 ₽;2012;робот;хэтчбек 5 дв.;передний;серый;1.6 л/105л.с./Бензин
1584;107 222 км;Ford Focus III Рестайлинг;754 000 ₽;2017;робот;хэтчбек 5 дв.;передний;белый;1.6 л/105л.с./Бензин
1585;160 609 км;Ford Focus II Рестайлинг;359 000 ₽;2011;механика;хэтчбек 5 дв.;передний;белый;1.6 л/100л.с./Бензин
1586;187 000 км;Ford Focus III;475 000 ₽;2012;робот;хэтчбек 5 дв.;передний;серый;1.6 л/105л.с./Бензин
1587;176 000 км;Ford Focus II;250 000 ₽;2006;механика;седан;передний;серебристый;1.6 л/100л.с./Бензин
1588;140 156 км;Ford Focus II Рестайлинг;370 000 ₽;2009;механика;хэтчбек 5 дв.;передний;серый;1.6 л/100л.с./Бензин
1589;57 009 км;Ford Focus III Рестайлинг;799 000 ₽;2017;робот;хэтчбек 5 дв.;передний;белый;1.6 л/105л.с./Бензин
1590;150 000 км;Ford Focus II Рестайлинг;345 000 ₽;2007;механика;хэтчбек 5 дв.;передний;чёрный;1.6 л/100л.с./Бензин
1591;244 910 км;Ford Focus III;465 000 ₽;2014;механика;хэтчбек 5 дв.;передний;серебристый;1.6 л/105л.с./Бензин
1592;189 443 км;Ford Focus II;350 000 ₽;2007;механика;хэтчбек 5 дв.;передний;голубой;1.8 л/125л.с./Бензин
1593;214 000 км;Ford Focus III;520 000 ₽;2014;робот;седан;передний;чёрный;1.6 л/125л.с./Бензин
1594;260 000 км;Ford Focus II Рестайлинг;370 000 ₽;2010;механика;хэтчбек 5 дв.;передний;серебристый;1.6 л/100л.с./Бензин
1595;96 500 км;Ford Focus III;490 000 ₽;2011;механика;хэтчбек 5 дв.;передний;серебристый;1.6 л/105л.с./Бензин
1596;56 677 км;Ford Focus II;300 000 ₽;2006;механика;хэтчбек 5 дв.;передний;голубой;1.4 л/80л.с./Бензин
1597;98 645 км;Ford Focus III Рестайлинг;730 000 ₽;2015;робот;седан;передний;белый;1.6 л/125л.с./Бензин
1598;91 000 км;Ford Focus III;536 000 ₽;2012;робот;хэтчбек 5 дв.;передний;белый;2.0 л/150л.с./Бензин
