;Пробег;Модель;Цена;Год;Коробка передач;Кузов;Привод;Цвет;Двигатель
0;173 000 км;Ford Focus II Рестайлинг;415 000 ₽;2010;механика;седан;передний;серый;1.8 л/125л.с./Бензин
1;87 000 км;Ford Focus III Рестайлинг;849 900 ₽;2016;автомат;хэтчбек 5 дв.;передний;серый;1.5 л/150л.с./Бензин
2;163 000 км;Ford Focus II;254 000 ₽;2006;механика;седан;передний;серебристый;1.6 л/100л.с./Бензин
3;142 000 км;Ford Focus II Рестайлинг;420 000 ₽;2009;механика;хэтчбек 5 дв.;передний;белый;2.0 л/145л.с./Бензин
4;103 000 км;Ford Focus III;609 999 ₽;2011;механика;хэтчбек 5 дв.;передний;пурпурный;1.6 л/125л.с./Бензин
5;96 342 км;Ford Focus III;579 000 ₽;2013;робот;хэтчбек 5 дв.;передний;серый;1.6 л/125л.с./Бензин
6;389 589 км;Ford Focus I Рестайлинг;140 000 ₽;2004;механика;универсал 5 дв.;передний;золотистый;1.8 л/115л.с./Бензин
7;43 150 км;Ford Focus III;699 000 ₽;2013;робот;универсал 5 дв.;передний;чёрный;1.6 л/125л.с./Бензин
8;94 000 км;Ford Focus III Рестайлинг;630 000 ₽;2017;робот;универсал 5 дв.;передний;белый;1.6 л/105л.с./Бензин
9;130 531 км;Ford Focus III Рестайлинг;440 000 ₽;2017;механика;универсал 5 дв.;передний;жёлтый;1.6 л/105л.с./Бензин
10;210 000 км;Ford Focus II Рестайлинг;450 000 ₽;2010;механика;хэтчбек 5 дв.;передний;серебристый;1.8 л/125л.с./Бензин
11;172 400 км;Ford Focus II Рестайлинг;343 199 ₽;2008;механика;хэтчбек 5 дв.;передний;серебристый;1.6 л/100л.с./Бензин
12;180 000 км;Ford Focus I Рестайлинг;125 000 ₽;2002;механика;хэтчбек 3 дв.;передний;серый;2.0 л/131л.с./Бензин
13;151 000 км;Ford Focus II Рестайлинг;395 000 ₽;2010;механика;универсал 5 дв.;передний;серебристый;1.6 л/100л.с./Бензин
14;189 900 км;Ford Focus II;195 000 ₽;2005;механика;седан;передний;чёрный;2.0 л/145л.с./Бензин
15;190 000 км;Ford Focus II Рестайлинг;420 000 ₽;2010;автомат;хэтчбек 5 дв.;передний;серебристый;1.6 л/100л.с./Бензин
16;4 380 км;Ford Focus III;960 000 ₽;2015;робот;седан;передний;серебристый;1.6 л/125л.с./Бензин
17;37 000 км;Ford Focus III;650 000 ₽;2012;робот;хэтчбек 5 дв.;передний;красный;1.6 л/125л.с./Бензин
18;220 000 км;Ford Focus II Рестайлинг;300 000 ₽;2008;автомат;седан;передний;чёрный;1.6 л/100л.с./Бензин
19;139 000 км;Ford Focus II Рестайлинг;420 000 ₽;2011;автомат;седан;передний;синий;1.6 л/100л.с./Бензин
20;176 080 км;Ford Focus II;320 000 ₽;2008;механика;седан;передний;чёрный;1.6 л/115л.с./Бензин
21;28 083 км;Ford Focus III Рестайлинг;1 050 000 ₽;2017;автомат;седан;передний;чёрный;1.5 л/150л.с./Бензин
22;300 000 км;Ford Focus I Рестайлинг;220 000 ₽;2003;механика;седан;передний;синий;1.8 л/115л.с./Бензин
23;142 690 км;Ford Focus II Рестайлинг;500 000 ₽;2011;автомат;хэтчбек 5 дв.;передний;красный;2.0 л/145л.с./Бензин
24;163 500 км;Ford Focus III;465 000 ₽;2013;механика;универсал 5 дв.;передний;белый;1.6 л/105л.с./Бензин
25;102 000 км;Ford Focus II Рестайлинг;399 000 ₽;2010;автомат;хэтчбек 5 дв.;передний;серый;1.6 л/100л.с./Бензин
26;140 000 км;Ford Focus II Рестайлинг;320 000 ₽;2008;механика;хэтчбек 5 дв.;передний;красный;1.8 л/125л.с./Бензин
27;90 000 км;Ford Focus III Рестайлинг;899 000 ₽;2015;автомат;хэтчбек 5 дв.;передний;белый;1.5 л/150л.с./Бензин
28;170 000 км;Ford Focus II;290 990 ₽;2006;механика;седан;передний;серебристый;1.6 л/115л.с./Бензин
29;292 477 км;Ford Focus II Рестайлинг;339 000 ₽;2008;механика;седан;передний;синий;1.8 л/125л.с./Бензин
30;92 400 км;Ford Focus III;500 000 ₽;2013;робот;седан;передний;чёрный;1.6 л/125л.с./Бензин
31;151 000 км;Ford Focus II Рестайлинг;480 000 ₽;2011;автомат;седан;передний;серый;1.6 л/100л.с./Бензин
32;177 947 км;Ford Focus III;465 000 ₽;2011;механика;хэтчбек 5 дв.;передний;пурпурный;1.6 л/105л.с./Бензин
33;315 000 км;Ford Focus II;199 000 ₽;2006;механика;седан;передний;серый;1.4 л/80л.с./Бензин
34;295 567 км;Ford Focus II;247 000 ₽;2006;механика;хэтчбек 5 дв.;передний;голубой;1.8 л/125л.с./Бензин
35;165 705 км;Ford Focus I;250 000 ₽;2001;автомат;хэтчбек 5 дв.;передний;серый;2.0 л/131л.с./Бензин
36;107 050 км;Ford Focus III;519 000 ₽;2012;механика;хэтчбек 5 дв.;передний;серый;1.6 л/105л.с./Бензин
37;132 000 км;Ford Focus III;570 000 ₽;2013;робот;седан;передний;чёрный;2.0 л/150л.с./Бензин
38;135 761 км;Ford Focus II Рестайлинг;270 000 ₽;2007;механика;седан;передний;синий;1.8 л/125л.с./Бензин
39;163 000 км;Ford Focus II Рестайлинг;316 000 ₽;2007;механика;седан;передний;чёрный;1.6 л/115л.с./Бензин
40;72 670 км;Ford Focus III;670 000 ₽;2014;робот;хэтчбек 5 дв.;передний;синий;2.0 л/150л.с./Бензин
41;79 000 км;Ford Focus III;595 000 ₽;2014;робот;седан;передний;чёрный;2.0 л/150л.с./Бензин
42;181 669 км;Ford Focus II Рестайлинг;387 000 ₽;2010;механика;хэтчбек 5 дв.;передний;голубой;2.0 л/145л.с./Бензин
43;169 283 км;Ford Focus III;478 000 ₽;2013;механика;хэтчбек 5 дв.;передний;красный;1.6 л/85л.с./Бензин
44;176 000 км;Ford Focus II Рестайлинг;429 000 ₽;2011;механика;хэтчбек 5 дв.;передний;чёрный;1.8 л/125л.с./Бензин
45;141 799 км;Ford Focus III;687 000 ₽;2013;механика;седан;передний;синий;2.0 л/150л.с./Бензин
46;184 000 км;Ford Focus II Рестайлинг;325 000 ₽;2008;автомат;седан;передний;фиолетовый;1.6 л/100л.с./Бензин
47;100 000 км;Ford Focus III Рестайлинг;580 000 ₽;2018;робот;универсал 5 дв.;передний;белый;1.6 л/105л.с./Бензин
48;91 912 км;Ford Focus III Рестайлинг;579 000 ₽;2018;робот;универсал 5 дв.;передний;белый;1.6 л/105л.с./Бензин
49;174 000 км;Ford Focus III;478 000 ₽;2012;механика;седан;передний;белый;1.6 л/105л.с./Бензин
50;101 000 км;Ford Focus III;521 000 ₽;2013;механика;хэтчбек 5 дв.;передний;чёрный;1.6 л/105л.с./Бензин
51;319 000 км;Ford Focus I Рестайлинг;230 000 ₽;2004;механика;универсал 5 дв.;передний;белый;1.6 л/98л.с./Бензин
52;107 500 км;Ford Focus III;520 000 ₽;2011;робот;седан;передний;серый;1.6 л/105л.с./Бензин
53;207 000 км;Ford Focus II Рестайлинг;360 000 ₽;2009;механика;седан;передний;чёрный;1.6 л/100л.с./Бензин
54;38 639 км;Ford Focus III Рестайлинг;790 000 ₽;2017;робот;хэтчбек 5 дв.;передний;серый;1.6 л/105л.с./Бензин
55;120 000 км;Ford Focus III;455 000 ₽;2011;механика;хэтчбек 5 дв.;передний;чёрный;1.6 л/125л.с./Бензин
56;59 000 км;Ford Focus III;620 000 ₽;2015;робот;хэтчбек 5 дв.;передний;чёрный;1.6 л/125л.с./Бензин
57;260 000 км;Ford Focus II;250 000 ₽;2006;механика;седан;передний;чёрный;1.8 л/125л.с./Бензин
58;92 500 км;Ford Focus III;510 000 ₽;2014;робот;седан;передний;чёрный;1.6 л/125л.с./Бензин
59;158 000 км;Ford Focus II;275 000 ₽;2007;механика;седан;передний;серебристый;1.8 л/125л.с./Бензин
60;17 000 км;Ford Focus III Рестайлинг;1 000 000 ₽;2018;механика;хэтчбек 5 дв.;передний;белый;1.6 л/105л.с./Бензин
61;134 000 км;Ford Focus III;500 000 ₽;2012;механика;седан;передний;серебристый;1.6 л/105л.с./Бензин
62;240 000 км;Ford Focus II;260 000 ₽;2006;механика;седан;передний;чёрный;1.6 л/115л.с./Бензин
63;187 733 км;Ford Focus III;650 000 ₽;2012;робот;хэтчбек 5 дв.;передний;белый;2.0 л/140л.с./Дизель
64;73 989 км;Ford Focus III Рестайлинг;815 000 ₽;2017;робот;универсал 5 дв.;передний;серый;1.6 л/125л.с./Бензин
65;290 000 км;Ford Focus II;250 000 ₽;2006;механика;седан;передний;серебристый;1.8 л/125л.с./Бензин
66;126 000 км;Ford Focus III;510 000 ₽;2012;механика;седан;передний;белый;1.6 л/105л.с./Бензин
67;52 000 км;Ford Focus III Рестайлинг;795 000 ₽;2016;автомат;универсал 5 дв.;передний;серый;1.5 л/150л.с./Бензин
68;98 000 км;Ford Focus III;449 000 ₽;2013;робот;хэтчбек 5 дв.;передний;коричневый;1.6 л/105л.с./Бензин
69;160 000 км;Ford Focus II Рестайлинг;510 000 ₽;2010;автомат;универсал 5 дв.;передний;фиолетовый;1.6 л/100л.с./Бензин
70;236 000 км;Ford Focus II Рестайлинг;375 000 ₽;2008;механика;хэтчбек 5 дв.;передний;серый;1.8 л/125л.с./Бензин
71;145 000 км;Ford Focus II;195 000 ₽;2006;механика;седан;передний;синий;1.4 л/80л.с./Бензин
72;162 000 км;Ford Focus III;520 000 ₽;2014;робот;хэтчбек 5 дв.;передний;белый;1.6 л/125л.с./Бензин
73;280 000 км;Ford Focus II;180 000 ₽;2006;механика;универсал 5 дв.;передний;синий;1.8 л/125л.с./Бензин
74;141 700 км;Ford Focus III;475 000 ₽;2013;робот;универсал 5 дв.;передний;серый;1.6 л/125л.с./Бензин
75;210 000 км;Ford Focus II Рестайлинг;200 000 ₽;2007;механика;хэтчбек 5 дв.;передний;серый;1.4 л/80л.с./Бензин
76;283 000 км;Ford Focus II Рестайлинг;350 000 ₽;2010;механика;седан;передний;серебристый;1.6 л/100л.с./Бензин
77;139 467 км;Ford Focus III;615 000 ₽;2015;робот;хэтчбек 5 дв.;передний;чёрный;2.0 л/150л.с./Бензин
78;141 000 км;Ford Focus II Рестайлинг;300 000 ₽;2008;механика;хэтчбек 5 дв.;передний;чёрный;1.8 л/125л.с./Бензин
79;137 000 км;Ford Focus III;515 000 ₽;2013;механика;хэтчбек 5 дв.;передний;серебристый;1.6 л/105л.с./Бензин
80;150 000 км;Ford Focus II;230 000 ₽;2006;автомат;хэтчбек 5 дв.;передний;голубой;1.6 л/100л.с./Бензин
81;84 000 км;Ford Focus III Рестайлинг;769 000 ₽;2017;робот;универсал 5 дв.;передний;серебристый;1.6 л/105л.с./Бензин
82;230 000 км;Ford Focus I Рестайлинг;227 000 ₽;2003;механика;хэтчбек 5 дв.;передний;серый;1.6 л/98л.с./Бензин
83;89 000 км;Ford Focus III;499 000 ₽;2015;механика;хэтчбек 5 дв.;передний;белый;1.6 л/105л.с./Бензин
84;183 000 км;Ford Focus III;456 000 ₽;2011;механика;хэтчбек 5 дв.;передний;красный;1.6 л/105л.с./Бензин
85;86 500 км;Ford Focus III;510 000 ₽;2012;робот;хэтчбек 5 дв.;передний;серебристый;2.0 л/150л.с./Бензин
86;51 037 км;Ford Focus III Рестайлинг;710 000 ₽;2015;робот;седан;передний;белый;1.6 л/105л.с./Бензин
87;127 000 км;Ford Focus II Рестайлинг;450 000 ₽;2010;автомат;хэтчбек 5 дв.;передний;серый;2.0 л/145л.с./Бензин
88;157 000 км;Ford Focus III;405 000 ₽;2012;механика;седан;передний;чёрный;1.6 л/105л.с./Бензин
89;100 000 км;Ford Focus III Рестайлинг;799 000 ₽;2016;робот;седан;передний;белый;1.6 л/125л.с./Бензин
90;87 000 км;Ford Focus III;559 000 ₽;2014;робот;седан;передний;красный;1.6 л/105л.с./Бензин
91;116 000 км;Ford Focus III;559 000 ₽;2013;робот;хэтчбек 5 дв.;передний;белый;2.0 л/150л.с./Бензин
92;130 200 км;Ford Focus II Рестайлинг;420 000 ₽;2010;автомат;седан;передний;серебристый;1.6 л/100л.с./Бензин
93;180 000 км;Ford Focus II;234 000 ₽;2007;механика;хэтчбек 3 дв.;передний;синий;1.8 л/116л.с./Дизель
94;295 000 км;Ford Focus I Рестайлинг;155 000 ₽;2004;механика;седан;передний;серый;1.6 л/98л.с./Бензин
95;154 734 км;Ford Focus III;531 000 ₽;2013;механика;хэтчбек 5 дв.;передний;синий;1.6 л/125л.с./Бензин
96;225 000 км;Ford Focus I Рестайлинг;118 000 ₽;2005;механика;седан;передний;серебристый;1.8 л/115л.с./Бензин
97;168 000 км;Ford Focus II Рестайлинг;369 990 ₽;2010;механика;хэтчбек 5 дв.;передний;белый;1.8 л/125л.с./Бензин
98;200 000 км;Ford Focus II;320 000 ₽;2007;механика;седан;передний;чёрный;1.6 л/100л.с./Бензин
99;29 588 км;Ford Focus III Рестайлинг;832 000 ₽;2018;робот;седан;передний;белый;1.6 л/125л.с./Бензин
100;194 000 км;Ford Focus II;250 000 ₽;2006;механика;хэтчбек 5 дв.;передний;синий;1.6 л/100л.с./Бензин
101;74 000 км;Ford Focus III;429 000 ₽;2012;робот;седан;передний;чёрный;1.6 л/125л.с./Бензин
102;290 000 км;Ford Focus II;290 000 ₽;2006;механика;седан;передний;синий;1.6 л/100л.с./Бензин
103;124 000 км;Ford Focus III;475 000 ₽;2011;механика;хэтчбек 5 дв.;передний;серый;1.6 л/105л.с./Бензин
104;200 000 км;Ford Focus II;319 000 ₽;2007;автомат;седан;передний;серебристый;1.6 л/100л.с./Бензин
105;167 000 км;Ford Focus II Рестайлинг;345 000 ₽;2008;автомат;хэтчбек 5 дв.;передний;чёрный;1.6 л/100л.с./Бензин
106;173 000 км;Ford Focus III;529 000 ₽;2012;робот;хэтчбек 5 дв.;передний;белый;2.0 л/150л.с./Бензин
107;81 168 км;Ford Focus III;580 000 ₽;2013;робот;хэтчбек 5 дв.;передний;серебристый;2.0 л/150л.с./Бензин
108;99 000 км;Ford Focus III;495 000 ₽;2012;механика;универсал 5 дв.;передний;серебристый;1.6 л/125л.с./Бензин
109;114 157 км;Ford Focus III;498 000 ₽;2013;механика;седан;передний;серый;1.6 л/105л.с./Бензин
110;144 813 км;Ford Focus III;538 000 ₽;2012;механика;седан;передний;серый;1.6 л/125л.с./Бензин
111;137 000 км;Ford Focus II Рестайлинг;377 000 ₽;2009;механика;хэтчбек 5 дв.;передний;синий;1.4 л/80л.с./Бензин
112;170 000 км;Ford Focus II;265 000 ₽;2006;механика;хэтчбек 5 дв.;передний;чёрный;1.8 л/125л.с./Бензин
113;103 400 км;Ford Focus I Рестайлинг;175 000 ₽;2004;механика;седан;передний;серебристый;1.6 л/98л.с./Бензин
114;121 000 км;Ford Focus II;400 000 ₽;2008;механика;хэтчбек 5 дв.;передний;чёрный;1.8 л/125л.с./Бензин
115;180 000 км;Ford Focus III;575 000 ₽;2011;механика;хэтчбек 5 дв.;передний;белый;1.6 л/125л.с./Бензин
116;187 000 км;Ford Focus I Рестайлинг;227 000 ₽;2004;механика;седан;передний;синий;1.8 л/115л.с./Бензин
117;224 230 км;Ford Focus I Рестайлинг;255 000 ₽;2004;автомат;универсал 5 дв.;передний;серый;2.0 л/131л.с./Бензин
118;215 000 км;Ford Focus I;205 000 ₽;2000;автомат;седан;передний;золотистый;2.0 л/131л.с./Бензин
119;164 000 км;Ford Focus III;485 000 ₽;2013;робот;универсал 5 дв.;передний;белый;1.6 л/125л.с./Бензин
120;47 000 км;Ford Focus III Рестайлинг;739 000 ₽;2017;робот;универсал 5 дв.;передний;белый;1.6 л/105л.с./Бензин
121;227 000 км;Ford Focus II;290 000 ₽;2006;механика;хэтчбек 5 дв.;передний;оранжевый;1.8 л/125л.с./Бензин
122;220 000 км;Ford Focus II;280 000 ₽;2006;механика;универсал 5 дв.;передний;серебристый;1.6 л/100л.с./Бензин
123;135 000 км;Ford Focus III;475 000 ₽;2013;робот;хэтчбек 5 дв.;передний;жёлтый;1.6 л/125л.с./Бензин
124;121 000 км;Ford Focus III;519 000 ₽;2012;робот;седан;передний;чёрный;2.0 л/150л.с./Бензин
125;119 000 км;Ford Focus III;529 000 ₽;2012;робот;универсал 5 дв.;передний;белый;1.6 л/125л.с./Бензин
126;126 000 км;Ford Focus III;519 000 ₽;2012;робот;седан;передний;белый;1.6 л/105л.с./Бензин
127;125 000 км;Ford Focus I Рестайлинг;225 000 ₽;2005;автомат;седан;передний;серебристый;2.0 л/130л.с./Бензин
128;83 000 км;Ford Focus III;610 000 ₽;2012;робот;седан;передний;серебристый;2.0 л/150л.с./Бензин
129;104 000 км;Ford Focus III;585 000 ₽;2013;робот;хэтчбек 5 дв.;передний;красный;1.6 л/105л.с./Бензин
130;200 000 км;Ford Focus II;230 000 ₽;2005;автомат;седан;передний;синий;1.6 л/100л.с./Бензин
131;97 000 км;Ford Focus II Рестайлинг;445 000 ₽;2010;механика;универсал 5 дв.;передний;чёрный;1.8 л/125л.с./Бензин
132;218 148 км;Ford Focus II Рестайлинг;347 000 ₽;2010;механика;хэтчбек 5 дв.;передний;серый;1.8 л/125л.с./Бензин
133;96 700 км;Ford Focus III;570 000 ₽;2014;робот;седан;передний;синий;1.6 л/125л.с./Бензин
134;155 000 км;Ford Focus II Рестайлинг;490 000 ₽;2009;механика;хэтчбек 5 дв.;передний;серебристый;2.0 л/145л.с./Бензин
135;152 336 км;Ford Focus III;579 000 ₽;2014;робот;универсал 5 дв.;передний;белый;1.6 л/125л.с./Бензин
136;307 308 км;Ford Focus I Рестайлинг;170 000 ₽;2002;механика;хэтчбек 5 дв.;передний;серебристый;1.6 л/98л.с./Бензин
137;257 000 км;Ford Focus II;299 000 ₽;2005;механика;универсал 5 дв.;передний;синий;1.8 л/116л.с./Дизель
138;113 000 км;Ford Focus III Рестайлинг;909 000 ₽;2016;автомат;универсал 5 дв.;передний;серый;1.5 л/150л.с./Бензин
139;173 000 км;Ford Focus II Рестайлинг;415 000 ₽;2010;механика;седан;передний;серый;1.8 л/125л.с./Бензин
140;126 650 км;Ford Focus II;237 500 ₽;2006;механика;седан;передний;серебристый;1.6 л/100л.с./Бензин
141;180 000 км;Ford Focus II Рестайлинг;360 000 ₽;2008;автомат;хэтчбек 5 дв.;передний;голубой;1.6 л/100л.с./Бензин
142;169 000 км;Ford Focus III;499 000 ₽;2011;механика;хэтчбек 5 дв.;передний;серый;1.6 л/125л.с./Бензин
143;24 000 км;Ford Focus IV;950 000 ₽;2019;автомат;седан;передний;серый;1.0 л/125л.с./Бензин
144;184 000 км;Ford Focus II;285 000 ₽;2006;механика;седан;передний;синий;1.6 л/100л.с./Бензин
145;300 000 км;Ford Focus II;250 000 ₽;2006;механика;седан;передний;синий;2.0 л/145л.с./Бензин
146;34 750 км;Ford Focus III Рестайлинг;755 000 ₽;2016;робот;хэтчбек 5 дв.;передний;серый;1.6 л/125л.с./Бензин
147;166 000 км;Ford Focus III Рестайлинг;738 500 ₽;2018;механика;универсал 5 дв.;передний;белый;1.6 л/105л.с./Бензин
148;93 945 км;Ford Focus III Рестайлинг;760 000 ₽;2017;робот;хэтчбек 5 дв.;передний;чёрный;1.6 л/125л.с./Бензин
149;96 000 км;Ford Focus III;485 000 ₽;2012;механика;хэтчбек 5 дв.;передний;белый;1.6 л/105л.с./Бензин
150;240 000 км;Ford Focus II Рестайлинг;280 000 ₽;2009;механика;хэтчбек 5 дв.;передний;чёрный;1.6 л/115л.с./Бензин
151;265 000 км;Ford Focus I Рестайлинг;185 000 ₽;2004;механика;седан;передний;бежевый;1.8 л/115л.с./Бензин
152;163 000 км;Ford Focus II;254 000 ₽;2006;механика;седан;передний;серебристый;1.6 л/100л.с./Бензин
153;178 317 км;Ford Focus III;424 000 ₽;2011;механика;седан;передний;чёрный;1.6 л/105л.с./Бензин
154;207 176 км;Ford Focus I Рестайлинг;200 000 ₽;2005;механика;седан;передний;синий;1.8 л/115л.с./Бензин
155;196 000 км;Ford Focus II Рестайлинг;449 000 ₽;2010;механика;хэтчбек 5 дв.;передний;серый;1.8 л/125л.с./Бензин
156;137 280 км;Ford Focus III;449 000 ₽;2011;механика;хэтчбек 5 дв.;передний;серый;1.6 л/125л.с./Бензин
157;150 000 км;Ford Focus II Рестайлинг;355 000 ₽;2008;механика;хэтчбек 5 дв.;передний;чёрный;1.8 л/116л.с./Дизель
158;145 000 км;Ford Focus II Рестайлинг;369 000 ₽;2010;механика;седан;передний;синий;1.8 л/125л.с./Бензин
159;320 000 км;Ford Focus I Рестайлинг;175 000 ₽;2003;механика;седан;передний;красный;1.6 л/98л.с./Бензин
160;121 213 км;Ford Focus II Рестайлинг;350 000 ₽;2009;автомат;седан;передний;чёрный;2.0 л/145л.с./Бензин
161;42 000 км;Ford Focus II Рестайлинг;560 000 ₽;2008;механика;седан;передний;серый;1.6 л/100л.с./Бензин
162;200 000 км;Ford Focus II;350 000 ₽;2006;механика;седан;передний;чёрный;1.8 л/125л.с./Бензин
163;154 000 км;Ford Focus III;580 000 ₽;2012;механика;седан;передний;белый;2.0 л/150л.с./Бензин
164;150 000 км;Ford Focus III;479 000 ₽;2012;механика;седан;передний;серебристый;1.6 л/85л.с./Бензин
165;108 647 км;Ford Focus III;550 000 ₽;2013;робот;седан;передний;чёрный;1.6 л/105л.с./Бензин
166;197 800 км;Ford Focus II Рестайлинг;375 000 ₽;2008;автомат;седан;передний;чёрный;2.0 л/145л.с./Бензин
167;370 000 км;Ford Focus I Рестайлинг;200 000 ₽;2003;механика;седан;передний;серебристый;2.0 л/130л.с./Бензин
168;237 000 км;Ford Focus II;310 000 ₽;2008;механика;седан;передний;чёрный;2.0 л/145л.с./Бензин
169;41 216 км;Ford Focus II Рестайлинг;650 000 ₽;2010;автомат;хэтчбек 5 дв.;передний;серый;1.6 л/100л.с./Бензин
170;280 000 км;Ford Focus II Рестайлинг;355 000 ₽;2007;механика;седан;передний;серебристый;1.8 л/125л.с./Бензин
171;108 000 км;Ford Focus III;560 000 ₽;2012;робот;седан;передний;белый;1.6 л/105л.с./Бензин
172;50 500 км;Ford Focus III Рестайлинг;729 000 ₽;2016;робот;седан;передний;серый;1.6 л/105л.с./Бензин
173;53 094 км;Ford Focus III Рестайлинг;800 000 ₽;2017;механика;седан;передний;серый;1.6 л/105л.с./Бензин
174;69 900 км;Ford Focus II Рестайлинг;499 999 ₽;2008;автомат;хэтчбек 5 дв.;передний;серый;1.6 л/100л.с./Бензин
175;123 000 км;Ford Focus III;570 000 ₽;2013;механика;универсал 5 дв.;передний;пурпурный;1.6 л/125л.с./Бензин
176;212 960 км;Ford Focus II;280 000 ₽;2006;механика;седан;передний;серебристый;1.8 л/125л.с./Бензин
177;190 000 км;Ford Focus I;115 000 ₽;2000;механика;седан;передний;зелёный;1.8 л/115л.с./Бензин
178;122 000 км;Ford Focus I;150 000 ₽;2000;автомат;седан;передний;белый;2.0 л/131л.с./Бензин
179;120 000 км;Ford Focus II;320 000 ₽;2007;механика;седан;передний;синий;1.6 л/100л.с./Бензин
180;200 000 км;Ford Focus I Рестайлинг;89 000 ₽;2004;механика;седан;передний;синий;1.8 л/115л.с./Бензин
181;123 000 км;Ford Focus III;549 000 ₽;2013;робот;универсал 5 дв.;передний;серый;2.0 л/150л.с./Бензин
182;81 880 км;Ford Focus II Рестайлинг;339 000 ₽;2008;механика;седан;передний;чёрный;1.6 л/115л.с./Бензин
183;63 000 км;Ford Focus III Рестайлинг;845 000 ₽;2017;робот;универсал 5 дв.;передний;чёрный;1.6 л/125л.с./Бензин
184;118 000 км;Ford Focus III;545 000 ₽;2012;робот;универсал 5 дв.;передний;серебристый;2.0 л/150л.с./Бензин
185;38 000 км;Ford Focus III Рестайлинг;900 000 ₽;2017;робот;хэтчбек 5 дв.;передний;серый;1.6 л/125л.с./Бензин
186;136 000 км;Ford Focus II;279 000 ₽;2006;механика;седан;передний;синий;1.4 л/80л.с./Бензин
187;152 000 км;Ford Focus III;460 000 ₽;2012;механика;хэтчбек 5 дв.;передний;чёрный;1.6 л/105л.с./Бензин
188;137 000 км;Ford Focus III;555 000 ₽;2011;механика;хэтчбек 5 дв.;передний;красный;1.6 л/105л.с./Бензин
189;106 376 км;Ford Focus II Рестайлинг;361 000 ₽;2008;автомат;хэтчбек 5 дв.;передний;красный;1.6 л/100л.с./Бензин
190;61 921 км;Ford Focus II Рестайлинг;490 000 ₽;2009;механика;седан;передний;серебристый;1.6 л/115л.с./Бензин
191;195 000 км;Ford Focus II;255 000 ₽;2006;механика;универсал 5 дв.;передний;синий;1.6 л/100л.с./Бензин
192;162 813 км;Ford Focus III;415 000 ₽;2011;механика;хэтчбек 5 дв.;передний;белый;1.6 л/125л.с./Бензин
193;66 000 км;Ford Focus III;580 000 ₽;2012;робот;хэтчбек 5 дв.;передний;красный;2.0 л/150л.с./Бензин
194;59 000 км;Ford Focus III Рестайлинг;695 000 ₽;2016;робот;седан;передний;белый;1.6 л/105л.с./Бензин
195;104 000 км;Ford Focus II Рестайлинг;383 000 ₽;2008;механика;хэтчбек 5 дв.;передний;синий;1.4 л/80л.с./Бензин
196;180 000 км;Ford Focus II;280 000 ₽;2006;механика;универсал 5 дв.;передний;серебристый;1.8 л/116л.с./Дизель
197;160 000 км;Ford Focus II Рестайлинг;339 000 ₽;2008;механика;хэтчбек 5 дв.;передний;синий;1.6 л/100л.с./Бензин
198;161 760 км;Ford Focus II;337 000 ₽;2007;автомат;хэтчбек 3 дв.;передний;синий;1.6 л/100л.с./Бензин
199;126 966 км;Ford Focus III Рестайлинг;784 000 ₽;2015;автомат;универсал 5 дв.;передний;серый;1.5 л/150л.с./Бензин
200;64 148 км;Ford Focus II Рестайлинг;559 000 ₽;2011;автомат;хэтчбек 5 дв.;передний;серый;1.6 л/100л.с./Бензин
201;206 861 км;Ford Focus III;590 000 ₽;2012;механика;седан;передний;синий;1.6 л/125л.с./Бензин
202;175 924 км;Ford Focus III;435 000 ₽;2013;механика;хэтчбек 5 дв.;передний;серебристый;1.6 л/105л.с./Бензин
203;156 317 км;Ford Focus II Рестайлинг;469 000 ₽;2010;механика;седан;передний;серый;1.8 л/125л.с./Бензин
204;179 000 км;Ford Focus II Рестайлинг;360 000 ₽;2008;механика;седан;передний;чёрный;1.8 л/125л.с./Бензин
205;199 000 км;Ford Focus II;250 000 ₽;2007;механика;седан;передний;серебристый;1.6 л/100л.с./Бензин
206;219 000 км;Ford Focus II Рестайлинг;420 000 ₽;2010;механика;хэтчбек 5 дв.;передний;серебристый;2.0 л/145л.с./Бензин
207;11 000 км;Ford Focus II Рестайлинг;410 000 ₽;2010;механика;седан;передний;белый;1.6 л/100л.с./Бензин
208;160 000 км;Ford Focus II Рестайлинг;375 000 ₽;2008;автомат;седан;передний;зелёный;1.6 л/100л.с./Бензин
209;127 133 км;Ford Focus III;695 000 ₽;2012;робот;универсал 5 дв.;передний;серый;2.0 л/150л.с./Бензин
210;193 000 км;Ford Focus II Рестайлинг;457 000 ₽;2010;автомат;хэтчбек 5 дв.;передний;белый;1.6 л/100л.с./Бензин
211;173 000 км;Ford Focus III;515 000 ₽;2014;механика;хэтчбек 5 дв.;передний;белый;1.6 л/105л.с./Бензин
212;126 000 км;Ford Focus II Рестайлинг;425 000 ₽;2011;механика;седан;передний;синий;1.6 л/100л.с./Бензин
213;270 000 км;Ford Focus I Рестайлинг;200 000 ₽;2001;автомат;седан;передний;серый;2.0 л/130л.с./Бензин
214;138 000 км;Ford Focus III;449 000 ₽;2012;робот;седан;передний;серебристый;2.0 л/150л.с./Бензин
215;102 000 км;Ford Focus III;628 000 ₽;2014;робот;хэтчбек 5 дв.;передний;серый;1.6 л/125л.с./Бензин
